Date,Shares
31-12-2022,497
30-09-2022,496
30-06-2022,497
31-03-2022,502
31-12-2021,505
30-09-2021,511
30-06-2021,499
31-03-2021,501
31-12-2020,501
30-09-2020,502
30-06-2020,498
31-03-2020,500
31-12-2019,501
30-09-2019,501
30-06-2019,501
31-03-2019,501
31-12-2018,503
30-09-2018,502
30-06-2018,502
31-03-2018,507
31-12-2017,509
30-09-2017,510
30-06-2017,505
31-03-2017,511
31-12-2016,506
30-09-2016,508
30-06-2016,505
31-03-2016,505
31-12-2015,514
30-09-2015,514
30-06-2015,516
31-03-2015,518
31-12-2014,519
30-09-2014,519
30-06-2014,517
31-03-2014,521
31-12-2013,514
30-09-2013,516
30-06-2013,510
31-03-2013,509
31-12-2012,518
30-09-2012,512
30-06-2012,520
31-03-2012,533
31-12-2011,540
30-09-2011,543
30-06-2011,542
31-03-2011,543
31-12-2010,620
30-09-2010,612
30-06-2010,628
31-03-2010,644
31-12-2009,644
30-09-2009,645
30-06-2009,643
31-03-2009,643
